PartitionKey,RowKey,Timestamp,Date,Date@type,Command,Command@type,CommandType,CommandType@type,GuildId,GuildId@type,UserId,UserId@type
20230413,12a40af2-1575-4a7f-bef2-576c82e68605,2023-04-13T13:22:23.890119Z,13-04-2023,String,relax,String,Slash,String,1048722624261398548,String,712950313547464756,String
20230413,1a3a2fee-4ef1-496e-942c-04c9c65c7fa3,2023-04-13T13:22:37.0030125Z,13-04-2023,String,relax,String,Slash,String,1048722624261398548,String,712950313547464756,String
20230413,29f3643e-965c-447a-881f-966689ea5b1b,2023-04-13T13:18:00.8136017Z,13-04-2023,String,pat,String,Slash,String,1048722624261398548,String,712950313547464756,String
20230413,35318c10-4090-4af9-bbca-f7d058cf07d6,2023-04-13T18:52:57.711466Z,13-04-2023,String,bellyrub,String,Slash,String,1089952469532024843,String,556870636513918976,String
20230413,3dff7423-48f6-4fa6-8f7a-11d27351c740,2023-04-13T11:39:55.3561162Z,13-04-2023,String,call,String,Slash,String,1048722624261398548,String,712950313547464756,String
20230413,3fd74364-502a-4a92-a2c9-d66286bb9fbf,2023-04-13T11:40:04.2639896Z,13-04-2023,String,pat,String,Slash,String,1048722624261398548,String,712950313547464756,String
20230413,44b0659f-75f4-45c9-bc29-99340217d9f5,2023-04-13T12:45:37.1172924Z,13-04-2023,String,help,String,Slash,String,1095793027076866208,String,733833214010982461,String
20230413,51af04d7-7fba-4254-9d7c-998fd721ff8d,2023-04-13T18:55:10.377185Z,13-04-2023,String,play ping,String,Slash,String,1095697150173782106,String,627705951142543361,String
20230413,529480d2-b4e0-4892-a30d-be29cb2615b5,2023-04-13T18:55:35.7953163Z,13-04-2023,String,play ping,String,Slash,String,1095697150173782106,String,627705951142543361,String
20230413,78a2cd28-7d25-4f8d-bd7d-90c3a86cde3b,2023-04-13T13:22:31.8072241Z,13-04-2023,String,motivation,String,Slash,String,1048722624261398548,String,712950313547464756,String
20230413,78a67ef9-ad35-4080-bf28-1bd033a08486,2023-04-13T13:17:51.3080128Z,13-04-2023,String,call,String,Slash,String,1048722624261398548,String,712950313547464756,String
20230413,93f6b199-bf27-4c01-991f-b51e657eab1c,2023-04-13T18:55:16.1967847Z,13-04-2023,String,play ping,String,Slash,String,1095697150173782106,String,627705951142543361,String
20230413,98e74f7c-175e-478e-9573-e0a3cd401000,2023-04-13T19:47:03.0311323Z,13-04-2023,String,bellyrub,String,Slash,String,1074328419149549638,String,1048823301377638411,String
20230413,9fe45c1b-eb65-4d58-b3d8-e1d76e2b57e4,2023-04-13T13:47:54.1067506Z,13-04-2023,String,snuggle,String,Slash,String,1095697150173782106,String,627705951142543361,String
20230413,a7ce6df6-c050-4a3d-b0ef-88fe1cbe81b3,2023-04-13T13:17:48.9643464Z,13-04-2023,String,call,String,Slash,String,1048722624261398548,String,712950313547464756,String
20230413,a8a1c54e-bc84-490a-8643-d973e641030c,2023-04-13T18:47:21.500604Z,13-04-2023,String,call,String,Slash,String,1089952469532024843,String,556870636513918976,String
20230413,adb33bed-1003-4f8d-b46c-c5247369bd50,2023-04-13T19:56:05.5664176Z,13-04-2023,String,boop,String,Slash,String,1089952469532024843,String,783903550182522910,String
20230413,b09f5ac9-9d5a-454b-80bb-218413c63d2c,2023-04-13T18:54:53.1711969Z,13-04-2023,String,pat,String,Slash,String,1095697150173782106,String,627705951142543361,String
20230413,b41f6add-5cb5-4542-8908-de0f7c7de1db,2023-04-13T22:28:14.9732251Z,13-04-2023,String,relax,String,Slash,String,1048722624261398548,String,712950313547464756,String
20230413,bb4e3e8a-97b6-4b26-8213-ca355d820c14,2023-04-13T18:55:23.8752985Z,13-04-2023,String,play ping,String,Slash,String,1095697150173782106,String,627705951142543361,String
20230413,c1750937-ed3b-40a0-ad09-edaa3d4ff5e4,2023-04-13T14:00:11.2933153Z,13-04-2023,String,headbunt,String,Slash,String,1095697150173782106,String,627705951142543361,String
20230413,cdd54fd2-1d77-48e9-86dd-dfd896967ddb,2023-04-13T12:12:48.8777387Z,13-04-2023,String,boop,String,Slash,String,898300750181064724,String,916449019541217331,String
20230413,d11c10f3-e01e-441c-8f0f-ebf7c7282cb5,2023-04-13T13:53:44.3838173Z,13-04-2023,String,snuggle,String,Slash,String,1095697150173782106,String,324711177139650560,String
20230413,d7ccdbe5-1c88-4987-8218-8e624b57c448,2023-04-13T11:39:52.8735446Z,13-04-2023,String,call,String,Slash,String,1048722624261398548,String,712950313547464756,String
20230413,e077abd1-b14a-4a84-b779-5e4bc8a04b0c,2023-04-13T16:48:31.2698709Z,13-04-2023,String,bellyrub,String,Slash,String,1094418205608513577,String,883352903551713291,String
20230413,e0868367-f48d-414b-9b7c-d719889f82c8,2023-04-13T12:43:26.2316927Z,13-04-2023,String,help,String,Slash,String,1095793027076866208,String,733833214010982461,String
20230413,e2c3a280-1393-4541-866b-d771f0a03438,2023-04-13T18:48:04.7019908Z,13-04-2023,String,motivation,String,Slash,String,1089952469532024843,String,556870636513918976,String
20230413,e2e69b50-e7ec-4c4a-876c-15356f06454c,2023-04-13T16:11:14.2172809Z,13-04-2023,String,bellyrub,String,Slash,String,1095622903845892096,String,981641746477903873,String
20230413,eedb67b7-f085-44a6-baa1-4099497633ec,2023-04-13T19:46:01.501574Z,13-04-2023,String,boop,String,Slash,String,1074328419149549638,String,1048823301377638411,String
20230413,ef2cd838-1fa4-4088-9733-46d4c129acf7,2023-04-13T13:47:47.0008368Z,13-04-2023,String,pat,String,Slash,String,1095697150173782106,String,627705951142543361,String
20230413,fe19d1b4-50ca-4eaf-af32-3b9278bec1bf,2023-04-13T13:53:38.2453176Z,13-04-2023,String,snuggle,String,Slash,String,1095697150173782106,String,324711177139650560,String
20230414,02c97322-ae6e-49de-a2a0-998b19c6a90a,2023-04-14T08:14:04.9085487Z,14-04-2023,String,headbunt,String,Slash,String,871651118738972682,String,189230783423184896,String
20230414,043f4909-8da1-4dbd-84ac-143fe7146d5f,2023-04-14T08:08:22.8634894Z,14-04-2023,String,play ping,String,Slash,String,871651118738972682,String,411800444973744138,String
